gene	Z_rank
DHX40	615
CHD9	616
GLG1	617
KLHL36	618
ROCK1	619
CASKIN1	620
CSNK1A1	621
EEF1A1	622
MARK2	623
SSTR1	624
TOP2A	625
PRAMEF6	626
ONECUT2	627
CHRFAM7A	628
ANKRD34A	629
XKR6	630
SHH	631
AP3D1	632
TCF4	633
MEIS2	634
PRDM15	635
TUBG1	636
CIT	637
BCL9L	638
GPR88	639
BRSK2	640
KIF5C	641
SULT1A3	642
SULT1A4	643
B4GALNT4	644
PANK1	645
PACS1	646
SAMD4B	647
CPNE9	648
EBF1	649
B3GAT1	650
GNB1	651
KAT7	652
SMARCB1	653
CDC27	654
UBE2O	655
TRA2B	656
KHSRP	657
AQR	658
ANXA8	659
ANXA8L1	660
FBXL18	661
IRF2BPL	662
WIZ	663
SLC4A8	664
NEURL4	665
TEX28	666
ADRB1	667
CSNK2A1	668
COPA	669
SRGAP2	670
EML3	671
TNPO1	672
PCDHGC3	673
PRDM10	674
TCERG1	675
TCF7L2	676
ZNF462	677
MNX1	678
CT47A7	679
CT47A6	680
CSNK1E	681
TAOK2	682
CDK5R1	683
FOXB1	684
MAP3K12	685
SOX17	686
CLASP2	687
CHD7	688
JUN	689
SRRT	690
RBM39	691
PROX1	692
ACO2	693
ZFP36L1	694
XPO4	695
FZD10	696
MARK4	697
ZBTB45	698
PPP1CA	699
TMEM57	700
ZFP64	701
GPR25	702
GTPBP2	703
ATP4A	704
POTEE	705
SLC9A6	706
TUBB8	707
DOCK4	708
STK35	709
CAPRIN1	710
YWHAG	711
LINGO1	712
ACVR1B	713
TRIM39	714
PPP2R2C	715
PXDN	716
HNRNPL	717
CYP46A1	718
HOXB8	719
TM9SF3	720
WDR33	721
SP6	722
ASIC2	723
ZSCAN10	724
BRD3	725
VCPIP1	726
TUBA4A	727
ZNF536	728
RAPGEF2	729
STT3A	730
HDAC3	731
FAM83H	732
SMU1	733
OPRD1	734
USP11	735
HELZ	736
KCNG3	737
SEC61A1	738
PIAS1	739
RNF20	740
IK	741
PRAMEF13	742
GDF10	743
RUVBL2	744
DUX4L2	745
DUX4L3	746
DUX4L5	747
DUX4L6	748
FEM1B	749
LRRC7	750
LRRN4	751
NBPF15	752
NBPF16	753
SETDB1	754
MEX3D	755
ARHGAP39	756
KCNA1	757
RPS6KA3	758
EGR4	759
KAT2A	760
C3orf58	761
VARS2	762
PTRF	763
CLEC18C	764
ZBTB16	765
TMCC2	766
CASK	767
LPA	768
KIAA1468	769
PDE8B	770
GPAT2	771
POGZ	772
C11orf2	773
AUTS2	774
GPHN	775
KIAA0368	776
BEND3	777
GPR89A	778
KCNN1	779
ZBTB12	780
BHLHE22	781
BRAF	782
GNAZ	783
FBXL15	784
ABCG1	785
NOA1	786
SCUBE3	787
MLLT6	788
EIF2S3	789
SPEN	790
MEGF8	791
PIP5K1C	792
POTEB	793
GRIA3	794
PSMC5	795
DLGAP1	796
PRAMEF18	797
PRAMEF19	798
C3	799
MAFB	800
HS3ST3B1	801
THOC3	802
NOTCH2	803
PPP1R16B	804
TLK1	805
NIPA1	806
SMARCC1	807
ABCG4	808
BTAF1	809
CREBZF	810
TUBB6	811
CHST2	812
CPSF1	813
B3GNT1	814
HCFC2	815
POU4F1	816
CKMT1B	817
KIAA0528	818
PAX6	819
NAGS	820
HAS2	821
PITX3	822
FBXL14	823
TOP3B	824
BAZ1A	825
PRR21	826
RHOB	827
NR4A2	828
FAM115C	829
ACOT1	830
ZNF319	831
CPSF6	832
HIVEP2	833
IPO5	834
EGR2	835
KBTBD6	836
SCO2	837
ZNF689	838
DNM3	839
EIF3I	840
MEX3A	841
PAK2	842
SAFB	843
ZNF219	844
CACNG2	845
ASAH2	846
DHH	847
EIF4A2	848
RBM38	849
KIF2A	850
MYCN	851
FMNL3	852
PI4KB	853
LTB	854
CADM4	855
KCNQ5	856
NR2F1	857
SOX4	858
HMGCR	859
AKT1	860
CADPS	861
APBA1	862
LRFN3	863
INO80	864
PSMD1	865
EFTUD2	866
ZNF768	867
PLCB4	868
PDZD8	869
ATAD2B	870
TSC22D2	871
PRAMEF16	872
XAB2	873
NR4A3	874
ZNF282	875
STAT5B	876
KAT8	877
RBM14	878
DEF6	879
DDX41	880
TECR	881
C1QTNF4	882
LRRC73	883
BIRC6	884
ZNF503	885
PPFIA2	886
FBXO46	887
CDK8	888
ADRBK1	889
DAPK1	890
RSBN1	891
IL6ST	892
ARHGEF7	893
NSD1	894
VAV1	895
RARA	896
ELAVL1	897
TRIM46	898
MGAT3	899
ZAP70	900
SRF	901
ADCY3	902
HNRNPH1	903
EML5	904
NCF1	905
HCN1	906
WDR44	907
EIF3D	908
EVX2	909
F12	910
ZMYM4	911
ZNRF3	912
RPS6KA1	913
ADAR	914
MYO18A	915
TSC1	916
KDM6B	917
KCNK12	918
RBM15	919
PRR20A	920
PRR20E	921
CHST8	922
CYLD	923
COMP	924
FAM84B	925
MAP2K7	926
AFF4	927
ACTN1	928
NYNRIN	929
SP8	930
TMEM30B	931
CUX2	932
ZNF322	933
SPTBN2	934
EIF4A1	935
PRMT1	936
WNT1	937
SEMA3F	938
SETD1A	939
DGKZ	940
CELF2	941
TPR	942
ASIC1	943
RHOV	944
FRYL	945
GDF11	946
GRM5	947
HCN4	948
ADRA2C	949
CTNNA1	950
ADRA2A	951
CORO1A	952
SNRK	953
GALR2	954
HIST2H3A	955
HIST2H3C	956
BRPF3	957
GIT1	958
SMARCA1	959
LMNA	960
PRDM8	961
CLCN3	962
ZNF835	963
CUL5	964
ATP6V1A	965
AHCYL1	966
HNRNPA0	967
KIF3B	968
METTL3	969
SERBP1	970
UNC5A	971
CDC73	972
TP63	973
TMEM102	974
WDTC1	975
PPP3CB	976
MDC1	977
CFB	978
XKR4	979
TADA2B	980
RALGAPA1	981
GATA3	982
LRP4	983
ETF1	984
MORC2	985
PRAMEF14	986
GTF3C4	987
DDN	988
TRPM3	989
CARD11	990
NACC2	991
GOLGA6L1	992
RBM5	993
CNOT6L	994
NPIP	995
CACNG3	996
SRSF10	997
TRPC5	998
NOTCH3	999
KPNA6	1000
GPR89C	1001
ZNF672	1002
OR2A1	1003
ITCH	1004
HIPK2	1005
SRGAP3	1006
CELF4	1007
ILF2	1008
TRADD	1009
SLC9A1	1010
TRIM14	1011
NBPF14	1012
ZNF238	1013
MGEA5	1014
MAP1S	1015
CPSF3	1016
DAZAP1	1017
NTN1	1018
MEPCE	1019
MOS	1020
GRM7	1021
RPS9	1022
DCAF7	1023
SPOP	1024
NOS3	1025
PELI3	1026
PTPRU	1027
PRDM12	1028
PCDHGA10	1029
EPHB2	1030
PABPC4	1031
ERBB2	1032
RLIM	1033
FJX1	1034
CELF5	1035
DNAJC7	1036
CHRM1	1037
PIK3AP1	1038
TIAL1	1039
NAA15	1040
TAF4	1041
SRSF11	1042
RLTPR	1043
CFC1B	1044
CFC1	1045
DENND3	1046
MARK1	1047
PITX1	1048
B3GNT6	1049
PTBP1	1050
HECA	1051
PPP1R10	1052
DPYSL2	1053
TAGAP	1054
CDC42BPB	1055
CUL4B	1056
FGFR1	1057
RING1	1058
SRSF1	1059
ZNF648	1060
FLT4	1061
KCND2	1062
MAP1A	1063
PSMC4	1064
SEC61A2	1065
PCDH7	1066
RIMS1	1067
SOX5	1068
ALKBH5	1069
CACNA2D1	1070
SYK	1071
ZNF787	1072
SALL3	1073
CAMK2G	1074
EIF4A3	1075
SMAD3	1076
ACTR3	1077
CCR10	1078
PLCB1	1079
LCK	1080
SF3B4	1081
CASZ1	1082
SLC23A2	1083
GNAO1	1084
GTF2H2C	1085
GTF2H2D	1086
FURIN	1087
SF3B2	1088
DST	1089
B3GNT9	1090
GNL1	1091
PTPN11	1092
MED25	1093
KIAA2013	1094
COPS4	1095
PRPF3	1096
PRR7	1097
GNA13	1098
SV2A	1099
FTSJD2	1100
HTR7	1101
PURB	1102
NRXN3	1103
FADS1	1104
ROBO3	1105
DMRTA2	1106
ATP2B3	1107
HLA-F	1108
KAT5	1109
RASGRF2	1110
IHH	1111
ADCY9	1112
STT3B	1113
FOXF2	1114
WDR82	1115
STX1B	1116
FOXF1	1117
TBC1D25	1118
HIC2	1119
TNFRSF1A	1120
HS3ST2	1121
HEXIM1	1122
KEAP1	1123
ZSWIM4	1124
MATR3	1125
KDM4A	1126
INSM1	1127
ZIC3	1128
RFX1	1129
CAMK2B	1130
NEUROG1	1131
SMARCD2	1132
TNRC18	1133
FBXW11	1134
PCDHGA12	1135
GABRG2	1136
PCBP2	1137
NMT1	1138
HDAC2	1139
KLHL20	1140
PLEKHM3	1141
PRRT1	1142
CASP2	1143
NCK2	1144
EIF2AK4	1145
SMAD4	1146
DLG3	1147
MYO16	1148
RLF	1149
KDM6A	1150
ISYNA1	1151
GNE	1152
UNC5D	1153
STXBP5	1154
OR4F16	1155
OR4F29	1156
OR4F3	1157
ZCCHC3	1158
NPEPPS	1159
GNB2L1	1160
LRP5	1161
ABCC9	1162
IFFO1	1163
LATS2	1164
C1QL3	1165
MYO9B	1166
FADS2	1167
SNW1	1168
PIP4K2B	1169
SP5	1170
GPR39	1171
POLR1A	1172
BAZ2A	1173
FAM84A	1174
DNAAF2	1175
CACNA2D2	1176
CSNK1D	1177
OR2A42	1178
FGD1	1179
THAP11	1180
CCNL1	1181
TPP2	1182
SMN1	1183
SMN2	1184
SOX10	1185
OLFM1	1186
GSTT2	1187
PRAMEF17	1188
AJUBA	1189
TAF3	1190
TRIM33	1191
NEUROG2	1192
RASA1	1193
CNKSR2	1194
NPLOC4	1195
PNMAL2	1196
FAM46A	1197
PTPRK	1198
CHRNA7	1199
MAPK3	1200
USP24	1201
OR4F21	1202
FAM86B1	1203
SLC6A2	1204
FMR1	1205
SCN4A	1206
MFAP1	1207
FAM73B	1208
BEGAIN	1209
TBX1	1210
PPP1R18	1211
PCSK2	1212
WNT6	1213
SIAH1	1214
PCDH11X	1215
ST14	1216
POLA1	1217
KCNS2	1218
FAM50B	1219
SMURF1	1220
EP300	1221
HOXA5	1222
AEBP2	1223
TRIM39-RPP21	1224
SOCS1	1225
DPYSL5	1226
CHD1	1227
RPRD2	1228
ZMYM2	1229
PANK2	1230
KCNG2	1231
PDIK1L	1232
MPRIP	1233
IKBKG	1234
OTUD7A	1235
NFIA	1236
DUSP7	1237
DDHD1	1238
CGB8	1239
ZBTB46	1240
RMND5A	1241
SLTM	1242
GJC2	1243
WDR24	1244
NR2E1	1245
MAF	1246
SLC9A5	1247
CTBP1	1248
KPNA4	1249
LRRTM1	1250
PRMT5	1251
HERC3	1252
CACNB4	1253
PPP2R2D	1254
PRMT8	1255
CDK11A	1256
GNB2	1257
UBE4B	1258
JAK3	1259
DPF1	1260
PHF19	1261
WDR47	1262
PPP2CA	1263
RPS2	1264
ATG9A	1265
PSMC1	1266
TMEM236	1267
HSP90AB1	1268
KCNN2	1269
FBXO31	1270
SFPQ	1271
USP5	1272
LPPR4	1273
NFKB2	1274
COL11A2	1275
SSRP1	1276
PREX1	1277
CAMKV	1278
JAG2	1279
SOX3	1280
C2orf29	1281
OTUD5	1282
CTNND2	1283
SOX18	1284
NOL4	1285
ABCC8	1286
CDK6	1287
SPDYE5	1288
PCDHAC2	1289
GABRB3	1290
ARL4C	1291
ZDHHC9	1292
TFAP2B	1293
PARD6G	1294
CELF3	1295
FRG2C	1296
RRAGA	1297
ZFC3H1	1298
TM9SF4	1299
GBX2	1300
CSTF2	1301
DCAF8	1302
LRRTM3	1303
CDH22	1304
TMCC1	1305
RUNX3	1306
WNT7B	1307
DPF2	1308
MEX3B	1309
ABCA1	1310
GNAT1	1311
PAX1	1312
WNT3	1313
SKIV2L2	1314
ARID1B	1315
ACTR2	1316
ANAPC2	1317
CDKL5	1318
SOX14	1319
HNRNPH2	1320
UBB	1321
GDI1	1322
DTX1	1323
POU3F4	1324
EXOC5	1325
POU3F1	1326
GPR89B	1327
PRPS1	1328
RC3H1	1329
ELMO2	1330
PSMC2	1331
CARM1	1332
SLITRK3	1333
EVX1	1334
KCTD8	1335
GTF2H2	1336
CORO2B	1337
ARID1A	1338
EPHA4	1339
MYH3	1340
CHRM4	1341
GON4L	1342
FHOD1	1343
PKN1	1344
SOX12	1345
VPS13D	1346
GGT1	1347
SCRT2	1348
GPR6	1349
HAPLN4	1350
TLR8	1351
PTPRT	1352
OTX1	1353
PDE10A	1354
CDK12	1355
ISL2	1356
IMP3	1357
EIF3L	1358
GRIA4	1359
GDF15	1360
TRPC1	1361
ANKRD11	1362
AKT3	1363
GNAL	1364
SBNO1	1365
NEDD4L	1366
TFAP2C	1367
HNRNPC	1368
PITPNM3	1369
PSMD2	1370
MBD3L2	1371
ITFG1	1372
C9orf78	1373
ZC3H12B	1374
CBWD3	1375
DGCR8	1376
ARNTL	1377
IER2	1378
MAGEA9	1379
MAGEA9B	1380
KCNC2	1381
SLC4A4	1382
LARP1	1383
AHCYL2	1384
